UML ID	Group Name	Parent Company	Mill Name	RSPO Certification	Latitude	Longitude	Country	Province	District
PO1000006316	UNKNOWN	PALMA SUR S.A.	PALMA SUR S.A.	Not Certificated	16.428333	-90.341889	Guatemala	Petén	Sayaxché
PO1000006321	SIME DARBY	SIME DARBY PLANTATION BHD	SEPANG (SOU 09A)	Not Certificated	2.678486	101.731956	Malaysia	Selangor	Sepang
PO1000006323	WILMAR GROUP	KERRY SAWIT INDONESIA	KERRY SAWIT INDONESIA 2	Not Certificated	-2.69695	112.483083	Indonesia	Kalimantan Tengah	Seruyan
PO1000006328	UNKNOWN	GUNA AGUNG SEMESTA	GUNA AGUNG SEMESTA	Not Certificated	0.98806	101.24345	Indonesia	Riau	Siak
PO1000006329	NBPOL	KULA PALM OIL LTD - HIGATURU OIL PALMS	SUMBERIPA	Not Certificated	-8.769184	148.160793	Papua New Guinea	Oro	Sohe
PO1000006331	NOBEL PLANTATION	HENRISON INTI PERSADA	HENRISON INTI PERSADA	Not Certificated	-1.0749	131.5626	Indonesia	Papua Barat	Sorong
PO1000006339	UNKNOWN	GREENGLORY CO.	GREENGLORY CO	Not Certificated	9.32035	99.127561	Thailand	Surat Thani	Tha Chang
PO1000006340	PTPN III	PERKEBUNAN NUSANTARA VII	UNIT BETUNG	Not Certificated	-2.848944	104.1649	Indonesia	Sumatera Selatan	Banyu Asin
PO1000006344	SALIM GROUP	MITRA INTISEJATI PLANTATION	BENGKAYANG	Not Certificated	1.167522	109.586086	Indonesia	Kalimantan Barat	Bengkayang
PO1000006345	GURITAS LINTAS SAMUDERA	SANDABI INDAH LESTARI	LUBUK BANYAU	Not Certificated	-3.3097	102.0926	Indonesia	Bengkulu	Bengkulu Utara
PO1000006346	SALIM GROUP	GUNTA SAMBA JAYA	MERAPUN	Not Certificated	1.3745	117.144472	Indonesia	Kalimantan Timur	Berau
PO1000006347	SARAWAK OIL PALMS BERHAD	SARAWAK OIL PALMS BHD	SABAJU	Not Certificated	3.197481	113.509834	Malaysia	Sarawak	Bintulu
PO1000006348	BERCA / CIPTA CAKRA MURDAYA	HARDAYA INTI PLANTATIONS	LEOK	Not Certificated	1.026389	121.360833	Indonesia	Sulawesi Tengah	Buol
PO1000006349	C.I BIOCOSTA S.A	OLECOCOL	OLEAGINOSAS DE COLOMBIA LTDA / OLEOCOL	Not Certificated	4.296567	-73.047533	Colombia	Meta	Cabuyaro
PO1000006350	UNKNOWN	UNIPALMA S.A.	UNIPALMA S.A.	"IP, MB"	4.22384	-73.255523	Colombia	Meta	Cumaral
PO1000006353	RISDA ESTATES SDN BHD	RISDA ESTATES SDN BHD	RISDA DURIAN MAS	Not Certificated	4.595091	103.202805	Malaysia	Trengganu	Dungun
